entity_id,header_timestamp,trip_id,route_id,vehicle_id,vehicle_label,latitude,longitude,bearing,speed,timestamp,stop_id,current_status
000329,1774557103,094050_6..S03R,6,,,0.0,0.0,0.0,0.0,1774557038,637S,1
000331,1774557103,094050_6..S01R,6,,,0.0,0.0,0.0,0.0,1774557023,631S,1
000333,1774557103,094150_6..N02R,6X,,,0.0,0.0,0.0,0.0,1774557082,607N,1
000335,1774557103,094500_6..N03R,6,,,0.0,0.0,0.0,0.0,1774557068,611N,1
000337,1774557103,094650_6..S01R,6,,,0.0,0.0,0.0,0.0,1774557096,630S,2
000339,1774557103,094750_6..S03R,6,,,0.0,0.0,0.0,0.0,1774557063,635S,1
000341,1774557103,094800_6..N02R,6X,,,0.0,0.0,0.0,0.0,1774557088,608N,2
000343,1774557103,095200_6..N03R,6,,,0.0,0.0,0.0,0.0,1774557098,614N,2
000345,1774557103,095250_6..S01R,6,,,0.0,0.0,0.0,0.0,1774557060,627S,1
000347,1774557103,095350_6..S03R,6,,,0.0,0.0,0.0,0.0,1774557056,630S,1
000349,1774557103,095550_6..S01R,6,,,0.0,0.0,0.0,0.0,1774557082,626S,1
000351,1774557103,095600_6..N02R,6X,,,0.0,0.0,0.0,0.0,1774557102,613N,2
000353,1774557103,095950_6..S03R,6,,,0.0,0.0,0.0,0.0,1774557093,629S,2
000355,1774557103,096150_6..S01R,6,,,0.0,0.0,0.0,0.0,1774557036,621S,1
000357,1774557103,096350_6..N02R,6X,,,0.0,0.0,0.0,0.0,1774557094,625N,0
000359,1774557103,096750_6..S01R,6,,,0.0,0.0,0.0,0.0,1774557099,617S,1
000361,1774557103,096850_6..S03R,6,,,0.0,0.0,0.0,0.0,1774557101,624S,1
000363,1774557103,096850_6..N03R,6,,,0.0,0.0,0.0,0.0,1774557055,626N,2
000365,1774557103,097150_6..N02R,6X,,,0.0,0.0,0.0,0.0,1774557099,627N,0
000367,1774557103,097300_6..S01R,6,,,0.0,0.0,0.0,0.0,1774557102,613S,2
000369,1774557103,097450_6..S03R,6,,,0.0,0.0,0.0,0.0,1774557090,619S,1
000371,1774557103,097650_6..N03R,6,,,0.0,0.0,0.0,0.0,1774557096,630N,2
000373,1774557103,097700_6..S01R,6,,,0.0,0.0,0.0,0.0,1774557091,612S,2
000375,1774557103,097950_6..N02R,6X,,,0.0,0.0,0.0,0.0,1774557065,632N,1
000377,1774557103,098050_6..S03R,6,,,0.0,0.0,0.0,0.0,1774557101,615S,1
000379,1774557103,098350_6..N03R,6,,,0.0,0.0,0.0,0.0,1774557076,634N,2
000381,1774557103,098400_6..S01R,6,,,0.0,0.0,0.0,0.0,1774557066,606S,1
000383,1774557103,098750_6..N02R,6X,,,0.0,0.0,0.0,0.0,1774557048,638N,1
000385,1774557103,098750_6..S01R,6,,,0.0,0.0,0.0,0.0,1774557101,604S,2
000387,1774557103,099050_6..S03R,6,,,0.0,0.0,0.0,0.0,1774557098,610S,0
000408,1774557103,041250_7X..S,7X,,,0.0,0.0,0.0,0.0,1774522235,701S,1
000410,1774557103,063100_7..S,7,,,0.0,0.0,0.0,0.0,1774534968,701S,1
000412,1774557103,066850_7..N,7,,,0.0,0.0,0.0,0.0,1774537771,726N,1
000414,1774557103,080100_7..N,7,,,0.0,0.0,0.0,0.0,1774545080,726N,1
000416,1774557103,082100_7..S,7,,,0.0,0.0,0.0,0.0,1774546159,701S,1
000419,1774557103,095650_7..N,7,,,0.0,0.0,0.0,0.0,1774557055,705N,1
000421,1774557103,095750_7..S,7,,,0.0,0.0,0.0,0.0,1774557091,726S,2
000423,1774557103,096050_7X..N,7X,,,0.0,0.0,0.0,0.0,1774557093,702N,0
000425,1774557103,096150_7..S,7,,,0.0,0.0,0.0,0.0,1774557091,724S,1
000427,1774557103,096450_7..N,7,,,0.0,0.0,0.0,0.0,1774557099,708N,2
000429,1774557103,096500_7..S,7,,,0.0,0.0,0.0,0.0,1774557094,720S,1
000431,1774557103,096800_7..S,7,,,0.0,0.0,0.0,0.0,1774557079,719S,2
000433,1774557103,096850_7X..N,7X,,,0.0,0.0,0.0,0.0,1774557088,710N,0
000435,1774557103,097150_7..N,7,,,0.0,0.0,0.0,0.0,1774557089,713N,1
000437,1774557103,097200_7..S,7,,,0.0,0.0,0.0,0.0,1774557059,716S,1
000439,1774557103,097450_7X..N,7X,,,0.0,0.0,0.0,0.0,1774557097,715N,1
000441,1774557103,097750_7..N,7,,,0.0,0.0,0.0,0.0,1774557082,718N,0
000443,1774557103,097800_7..S,7,,,0.0,0.0,0.0,0.0,1774557092,712S,1
000445,1774557103,097850_7..S,7,,,0.0,0.0,0.0,0.0,1774557064,715S,1
000447,1774557103,098050_7..S,7,,,0.0,0.0,0.0,0.0,1774557094,714S,2
000449,1774557103,098050_7X..N,7X,,,0.0,0.0,0.0,0.0,1774557101,719N,2
000451,1774557103,098250_7..S,7,,,0.0,0.0,0.0,0.0,1774557087,708S,1
000453,1774557103,098350_7..N,7,,,0.0,0.0,0.0,0.0,1774557074,721N,1
000455,1774557103,098650_7X..N,7X,,,0.0,0.0,0.0,0.0,1774557087,723N,1
000457,1774557103,098650_7..S,7,,,0.0,0.0,0.0,0.0,1774557102,705S,1
000459,1774557103,098950_7..N,7,,,0.0,0.0,0.0,0.0,1774557095,724N,2
000461,1774557103,099000_7..S,7,,,0.0,0.0,0.0,0.0,1774557081,702S,1
000464,1774557103,099350_7X..N,7X,,,0.0,0.0,0.0,0.0,1774557092,726N,2
000468,1774557103,099650_7..S,7,,,0.0,0.0,0.0,0.0,1774556771,701S,1
000473,1774557103,100000_7..S,7,,,0.0,0.0,0.0,0.0,1774557102,701S,1
000497,1774557103,048400_7..N,7,,,0.0,0.0,0.0,0.0,1774526613,726N,1
